"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","miss_distance","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"SI","2025-04-15","97.6","-2.24","6.24","García, Luis",691728,472610,,"foul",,,,,8,,"R","L","R","LAD","COL","S",,,1,2,2025,"-1.27","0.72",0.014132104608275853,1.999684106953432,,,,0,9,"Top",,,,,,,9.028150686999098,-141.7889293042602,-7.608536344204802,-19.19792930148236,30.768406266029515,-20.903565296917616,3.49,1.601,228,"81.1",50,"98.1",1948,"6.5",778302,669257,518692,571771,571970,605141,621035,669242,681624,"53.95",,,,,,,,77,5,"Sinker",6,2,2,6,2,6,2,6,"Infield shade","Standard",212,"0","0","65.4","6.7",,,"0","88.0",4,-4,0.988,0.012,38,23,38,24,1,3,3,1,5,5,"1.67","1.27","-1.27","47.8",-4.078222500629346,5.080211152781841,39.87752138305528,38.11968430803345,21.314286885609675
"FF","2026-08-30","97.5","-2.43","5.38","Mederos, Victor",691728,682989,"field_out","hit_into_play",,,,,6,"Zac Veen flies out to left fielder Mike Yastrzemski.","R","L","R","ATL","COL","X",7,"fly_ball",0,1,2026,"-0.71","1.1",0.3482717253992553,2.259162706137719,,666160,,2,10,"Top",84.09,129.51,,,,,9.103418045854168,-141.7975203692441,-5.341183530797598,-11.563005558674405,28.91984601511926,-16.218809068977585,3.363057743,1.697244095,205,"84.8",57,"98.5",2391,"6.7",824876,669221,621566,645277,663586,643289,573262,671739,660670,"53.84",0.026,0.027,"0",1,0,0,3,74,2,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Strategic","Standard",233,"0.11","-0.243","73.4","7.2",,0.035,"0.243","88.0",0,0,0.695,0.305,25,24,25,25,1,0,2,1,2,1,"1.28","0.71","-0.71","26.9",18.657914144228847,3.6542393044611,36.300051662235674,33.5647271765583,31.86767958156387
"FF","2026-08-17","97.4","-1.99","4.5","Díaz, Edwin",691728,621242,,"ball",,,,,12,,"R","L","R","COL","LAD","B",,,0,0,2026,"-1.02","0.7",1.6091888769102116,2.5706098958702923,,691182,664954,2,9,"Bot",,,,,,,12.139919470864463,-141.52043568002185,-1.228939445809187,-16.22868103207104,26.963400920001078,-22.56385727487573,3.363057743,1.697244095,,,,"99.9",2241,"7.4",824320,676439,571771,669242,571970,500743,669743,681624,663656,"53.12",,,,,,,,83,1,"4-Seam Fastball",4,11,4,11,11,4,4,11,"Standard","Standard",242,"0","0.029",,,,,"-0.029",,-7,-7,0.001,0.001,32,24,32,25,1,1,3,1,,1,"1.68","1.02","-1.02","10.8",,,,,
"FF","2026-08-29","97.3","-2.36","4.9","Fuentes, Didier",691728,800311,,"foul",,,,,5,,"R","L","R","ATL","COL","S",,,0,0,2026,"-1.01","1.12",-0.1492772749540865,2.323869054158256,,650489,690022,1,9,"Top",,,,,,,8.290541562060733,-141.5244452545921,-3.8702155907131814,-15.441236461901127,31.315229661661817,-16.410639549194958,3.363057743,1.697244095,206,"77.5",61,"98.4",2089,"6.9",824874,686948,621566,645277,663586,643289,573262,671739,660670,"53.62",,,,,,,,70,1,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",224,"0.021","-0.041","74.0","7.3",,,"0.041","88.0",1,-1,0.711,0.289,21,24,21,25,1,0,3,1,,1,"1.28","1.01","-1.01","21.9",11.347263079578301,-2.0249482832074657,33.61033882665522,38.40570274690758,37.11749030123589
"FF","2026-08-17","97.2","-3.1","5.46","Phillips, Evan",691728,623465,"strikeout","called_strike",,,,,7,"Zac Veen challenged (pitch result), call on the field was confirmed: Zac Veen called out on strikes.","R","L","R","COL","LAD","S",2,,0,2,2026,"-0.64","1.07",-0.5333448767480296,1.7559308599127155,,,,0,8,"Bot",,,,,,,8.278658089158164,-141.357613473089,-6.762788345075409,-10.295284841599333,27.336730099344432,-16.463440222036134,3.363057743,1.697244095,,,,,,,824320,676439,571771,669242,571970,500743,669743,681624,663656,"54.13",,0,"0",1,0,0,,69,3,"4-Seam Fastball",2,11,2,11,11,2,2,11,"Infield shade","Standard",,"0","-0.165",,,,,"0.165",,-9,-9,0.001,0.001,31,24,32,25,1,0,3,1,1,1,"1.31","0.64","-0.64",,,,,,
"SI","2026-09-02","97.2","2.2","6.03","Wolfram, Grant",691728,664991,,"called_strike",,,,,2,,"R","L","L","COL","BAL","S",,,0,0,2026,"1.03","0.5",-0.2502625091698756,2.9710915717761615,,,681198,1,11,"Bot",,,,,,,-8.852093227936308,-141.4530833901683,-3.6822416144910255,15.682825345733944,28.827738810409034,-24.81683101219635,3.363057743,1.697244095,,,,"97.6",2289,"6.3",824312,665966,624413,677942,687952,683002,673357,681297,665750,"54.24",,,,,,,,88,1,"Sinker",4,5,4,5,5,4,4,5,"Standard","Standard",129,"-0.017","-0.039",,,,,"0.039",,-1,-1,0.214,0.214,29,24,30,25,1,1,,,,,"1.89","1.03","1.03",,,,,,
"FF","2026-08-29","97.2","-2.32","4.98","Fuentes, Didier",691728,800311,,"foul_tip",,,,,2,,"R","L","R","ATL","COL","S",,,0,1,2026,"-0.82","0.99",0.001920396962190818,3.405725045793277,,650489,690022,1,9,"Top",,,,,,,8.150643792718107,-141.38481984265763,-0.8643003244791921,-12.785636444465698,30.329724161918264,-18.908531826916803,3.363057743,1.697244095,,,,"98.5",1943,"6.9",824874,686948,621566,645277,663586,643289,573262,671739,660670,"53.59",,,,,,,,70,2,"4-Seam Fastball",2,1,1,2,1,2,1,2,"Standard","Standard",227,"0.036","-0.062","63.9","5.0",,,"0.062",,1,-1,0.732,0.268,21,24,21,25,1,0,3,1,,1,"1.42","0.82","-0.82","20.8",-12.451402129701673,32.93282247192901,29.389703373685393,35.680305369474596,19.41757718819199
"FF","2026-08-24","97","-1.84","6","Cavalli, Cade",691728,676917,,"swinging_strike",,,,,1,,"R","L","R","WSH","COL","S",,,1,1,2026,"-0.79","1.1",-0.46007311737798284,3.2191163467592063,,681198,687859,2,4,"Top",,,,,,,5.458659719717,-141.19706816266188,-4.284711091150682,-11.796070485288077,31.306873675352666,-16.68593614611633,3.363057743,1.697244095,,,,"97",2119,"6.2",822695,660688,694673,678391,691781,683083,695734,696285,686611,"54.29",,,,,,,,29,3,"4-Seam Fastball",0,1,1,0,1,0,1,0,"Standard","Standard",222,"0.011","-0.061","74.1","6.5","0.845246508",,"0.061",,-1,1,0.385,0.615,27,24,28,25,2,1,5,2,5,2,"1.32","0.79","-0.79","34.5",2.6946541047884516,19.057247531826476,24.58999912215579,44.3891808830971,21.162052288366738
"SI","2026-09-02","96.8","2.27","5.96","Wolfram, Grant",691728,664991,,"foul_tip",,,,,12,,"R","L","L","COL","BAL","S",,,0,1,2026,"1.09","0.69",1.2318906695458287,3.3555763743736766,,,681198,1,11,"Bot",,,,,,,-5.2523115051772775,-140.97194046887523,-2.8830556147549857,15.78401355771569,28.429014414923735,-22.433322524818184,3.363057743,1.697244095,,,,"97",2284,"6.1",824312,665966,624413,677942,687952,683002,673357,681297,665750,"54.42",,,,,,,,88,2,"Sinker",4,5,4,5,5,4,4,5,"Standard","Standard",139,"-0.029","-0.059","60.0","5.2",,,"0.059",,-1,-1,0.197,0.197,29,24,30,25,1,1,,,,,"1.71","1.09","1.09",,-5.192116538325097,34.54681687723834,34.55292654277904,25.037697350679814,16.804113768005447
"FF","2025-04-20","96.7","-2.53","5.02","Lord, Brad",691728,695418,"strikeout","swinging_strike",,,,,4,"Zac Veen strikes out swinging.","R","L","R","COL","WSH","S",2,,2,2,2025,"-1.25","0.79",-0.7043300269879798,2.781107824586879,,641857,696100,2,1,"Bot",,,,,,,7.652727908916679,-140.7770187300724,-2.296510367067156,-18.349155154011548,27.355094211853363,-21.265675953900956,3.49,1.601,,,,"96.7",2357,"5.9",778266,660688,605137,671277,677588,683083,695578,696285,686611,"54.58",,0,"0",1,0,0,,11,5,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",252,"-0.038","-0.203","68.0","5.8","1.344351036",,"0.203",,-1,-1,0.435,0.435,25,23,25,24,1,0,6,0,6,,"1.62","1.25","-1.25","21.9",-7.550601852631558,44.44649384124921,25.76306393991164,47.16908188766394,-0.06472758301915027
"SI","2025-04-20","96.6","3.08","5.76","Ferrer, José A.",691728,678606,"field_out","hit_into_play",,,,,6,"Zac Veen lines out to left fielder James Wood.","R","L","L","COL","WSH","X",7,"line_drive",0,1,2025,"1.28","0.49",0.4919211162509949,2.6954016334389967,,,,0,8,"Bot",60.23,99.57,,,,,-9.7255898659342,-140.45004562824113,-3.74533312259861,19.063046965255904,28.511223034019274,-25.00502100092329,3.49,1.601,296,"92.9",22,"96.3",2242,"5.9",778235,656180,663993,642708,702358,683083,695578,696285,686611,"54.58",0.18,0.225,"0",1,0,0,3,58,2,"Sinker",2,3,2,3,3,2,2,3,"Standard","Standard",111,"-0.054","-0.22","70.7","6.1",,0.34,"0.22","92.9",-1,-1,0.299,0.299,25,23,25,24,1,2,1,5,3,0,"1.93","1.28","1.28","32.0",0.15677213409674257,14.30248794521453,29.84700446290415,35.87217454021447,20.153075297403177
"SI","2025-04-08","96.4","-1.12","5.9","Uribe, Abner",691728,682842,"single","hit_into_play",,,,,5,"Zac Veen singles on a bunt ground ball to pitcher Abner Uribe. Kyle Farmer to 3rd. Zac Veen to 2nd. Kyle Farmer advances to 3rd, on a throwing error by pitcher Abner Uribe.","R","L","R","COL","MIL","X",1,"ground_ball",0,0,2025,"-0.85","0.59",0.09098265933103633,2.551834825112201,,,571657,2,6,"Bot",119.72,189.88,,,,,5.161026392573174,-140.51777755144846,-4.8183079907931665,-12.28182151206295,23.3860466899417,-23.582443449301213,3.49,1.601,1,"54.3",-69,"97.8",2218,"6.4",778394,661388,656555,668930,681962,687401,694192,669003,686217,"54.1",0.311,0.283,"0.9",1,1,0,1,50,1,"Sinker",1,4,1,4,4,1,1,4,"Infield shade","Standard",206,"0.044","0.054",,,,0.314,"-0.054","88.0",-3,-3,0.131,0.131,25,23,25,24,1,2,2,,2,1,"1.81","0.85","-0.85","36.2",,,,,
